date,instrument,high,open,low,close,volume
2018-01-02,510500.SH,6.68,6.61,6.597,6.677,52574297
2018-01-03,510500.SH,6.735,6.679,6.667,6.72,35153371
2018-01-04,510500.SH,6.746,6.72,6.706,6.746,42853172
2018-01-05,510500.SH,6.773,6.747,6.722,6.758,29291646
2018-01-08,510500.SH,6.797,6.759,6.733,6.789,27850924
2018-01-09,510500.SH,6.787,6.785,6.761,6.783,23136391
2018-01-10,510500.SH,6.78,6.78,6.707,6.749,29333731
2018-01-11,510500.SH,6.775,6.73,6.711,6.765,20675600
2018-01-12,510500.SH,6.768,6.756,6.72,6.731,31859641
2018-01-15,510500.SH,6.727,6.715,6.57,6.587,42723621
2018-01-16,510500.SH,6.675,6.583,6.578,6.622,46468473
2018-01-17,510500.SH,6.625,6.623,6.526,6.584,60705837
2018-01-18,510500.SH,6.637,6.571,6.568,6.609,30954329
2018-01-19,510500.SH,6.648,6.601,6.582,6.59,34098045
2018-01-22,510500.SH,6.684,6.582,6.56,6.674,67773273
2018-01-23,510500.SH,6.705,6.68,6.657,6.683,42014348
2018-01-24,510500.SH,6.745,6.686,6.66,6.734,85139300
2018-01-25,510500.SH,6.763,6.736,6.722,6.724,56794653
2018-01-26,510500.SH,6.746,6.722,6.707,6.73,33198084
2018-01-29,510500.SH,6.75,6.725,6.63,6.643,49871300
2018-01-30,510500.SH,6.667,6.643,6.627,6.642,29313500
2018-01-31,510500.SH,6.622,6.622,6.498,6.501,44734937
2018-02-01,510500.SH,6.531,6.501,6.3,6.306,86419518
2018-02-02,510500.SH,6.32,6.29,6.149,6.303,126748873
2018-02-05,510500.SH,6.32,6.228,6.2,6.292,54141923
2018-02-06,510500.SH,6.232,6.19,5.996,6.007,82730988
2018-02-07,510500.SH,6.139,6.104,5.922,6.014,73521559
2018-02-08,510500.SH,6.096,6.014,5.981,6.067,67647730
2018-02-09,510500.SH,5.976,5.9,5.789,5.836,213036164
2018-02-12,510500.SH,6.027,5.86,5.86,5.994,69840400
2018-02-13,510500.SH,6.084,6.01,6.01,6.031,36785753
2018-02-14,510500.SH,6.052,6.037,6.0,6.051,25854302
2018-02-22,510500.SH,6.179,6.089,6.087,6.177,38081232
2018-02-23,510500.SH,6.202,6.172,6.145,6.186,37525200
2018-02-26,510500.SH,6.359,6.22,6.215,6.353,87013099
2018-02-27,510500.SH,6.365,6.354,6.311,6.324,58036074
2018-02-28,510500.SH,6.367,6.275,6.256,6.326,52338721
2018-03-01,510500.SH,6.42,6.315,6.27,6.413,49266292
2018-03-02,510500.SH,6.405,6.385,6.361,6.382,35396428
2018-03-05,510500.SH,6.411,6.382,6.332,6.374,38000486
2018-03-06,510500.SH,6.462,6.383,6.377,6.46,45817387
2018-03-07,510500.SH,6.464,6.464,6.396,6.399,35923181
2018-03-08,510500.SH,6.46,6.393,6.38,6.457,32795421
2018-03-09,510500.SH,6.547,6.459,6.45,6.544,49539721
2018-09-18,510500.SH,4.984,4.886,4.871,4.972,119347522
2018-09-19,510500.SH,5.075,4.958,4.95,5.031,154691237
2018-09-20,510500.SH,5.063,5.035,5.02,5.03,78530410
2018-09-21,510500.SH,5.128,5.036,5.017,5.126,189855273
2018-09-25,510500.SH,5.117,5.087,5.07,5.098,106233400
2018-09-26,510500.SH,5.159,5.092,5.08,5.108,150793768
2018-09-27,510500.SH,5.12,5.107,5.046,5.055,111871757
2018-09-28,510500.SH,5.124,5.056,5.04,5.122,123692119
2018-10-08,510500.SH,5.045,5.01,4.936,4.942,119599894
2018-10-09,510500.SH,4.98,4.946,4.905,4.927,79845412
2018-10-10,510500.SH,4.959,4.93,4.876,4.926,101184493
2018-10-11,510500.SH,4.796,4.795,4.526,4.554,244432247
2018-10-12,510500.SH,4.571,4.547,4.407,4.536,185587500
2018-10-15,510500.SH,4.592,4.55,4.451,4.458,112069238
2018-10-16,510500.SH,4.486,4.459,4.338,4.375,126112697
2018-10-17,510500.SH,4.435,4.425,4.305,4.394,249564300
2018-10-18,510500.SH,4.369,4.369,4.281,4.297,186617600
2018-10-19,510500.SH,4.407,4.268,4.22,4.386,228357916
2018-10-22,510500.SH,4.681,4.5,4.45,4.642,486818671
2018-10-23,510500.SH,4.66,4.642,4.498,4.53,281637569
2018-10-24,510500.SH,4.579,4.517,4.48,4.517,184014390
2018-10-25,510500.SH,4.523,4.39,4.352,4.516,192358234
2018-10-26,510500.SH,4.577,4.524,4.477,4.494,202106503
2018-10-29,510500.SH,4.505,4.503,4.412,4.44,118077018
2018-10-30,510500.SH,4.522,4.424,4.36,4.481,197381801
2018-10-31,510500.SH,4.588,4.487,4.477,4.549,278927432
2018-11-01,510500.SH,4.664,4.595,4.577,4.581,346834202
2018-11-02,510500.SH,4.79,4.73,4.653,4.75,1014457348
2018-11-05,510500.SH,4.763,4.725,4.64,4.726,316484961
2018-11-06,510500.SH,4.735,4.7,4.656,4.735,189818508
2018-11-07,510500.SH,4.78,4.736,4.688,4.69,212492311
2018-11-08,510500.SH,4.734,4.729,4.656,4.659,205644909
2018-11-09,510500.SH,4.687,4.641,4.63,4.661,112752040
2018-11-12,510500.SH,4.796,4.652,4.645,4.783,334144810
2018-11-13,510500.SH,4.908,4.73,4.722,4.878,402841555
2018-11-14,510500.SH,4.915,4.866,4.835,4.856,187244604
2018-11-15,510500.SH,4.944,4.852,4.848,4.942,210941412
2018-11-16,510500.SH,5.022,4.95,4.914,4.972,307571731
2018-11-19,510500.SH,4.997,4.965,4.911,4.974,341385423
2018-11-20,510500.SH,4.953,4.928,4.831,4.842,336110100
2018-11-21,510500.SH,4.878,4.778,4.77,4.853,282225472
